district,locality,latitude,longitude,provice,id,zip_code,property_sub_type,property_type,price,nb_bedrooms,living_area,surface_of_the_plot,nb_facades,state_of_building,fireplace,equipped_kitchen,garden,garden_surface,terrace,terrace_surface,furnished,swimming_pool
Waremme,Waremme,50.6926286,5.2502571,Liège,20058865,4300,Apartment,APARTMENT,210000.0,3,90,,3,Good,0,0,0,,1,5,0,0
Bastogne,Bastogne,50.0032566,5.718413099999999,Luxembourg,20337259,6600,Duplex,APARTMENT,210000.0,2,77,,,Good,0,1,0,,0,,0,0
Courtrai,Zwevegem,50.80849380000001,3.423065,Flandre Occidentale,20401936,8553,Duplex,APARTMENT,210000.0,3,115,,,To be done up,0,0,0,,1,6,0,0
Liège,Chenee,50.61572959999999,5.622392899999999,Liège,11394213,4032,Apartment,APARTMENT,215000.0,2,100,,2,As new,0,0,0,,1,12,0,0
Bruges,Blankenberge,51.3128853,3.1257275,Flandre Occidentale,11456604,8370,Apartment,APARTMENT,215000.0,2,80,,2,To renovate,0,1,0,,1,2,0,0
Namur,Profondeville Lustin,,,Namur,20309639,5170,Apartment,APARTMENT,220000.0,2,75,,3,As new,0,1,1,38,1,10,0,0
Soignies,La Louvière,50.4800597,4.2017155,Hainaut,20421058,7100,Apartment,APARTMENT,220000.0,3,122,,2,As new,0,0,0,,0,,0,0
Bruxelles,Sint-Agatha-Berchem,50.8657272,4.3054239,Bruxelles,20079929,1082,Apartment,APARTMENT,224000.0,2,100,,,Good,0,0,0,,0,,0,0
Bruxelles,IXELLES,50.8186015,4.3838327,Bruxelles,20317084,1050,Apartment,APARTMENT,225000.0,1,68,,2,To be done up,0,0,0,,0,,0,0
Bruxelles,Anderlecht,50.8400583,4.2847699,Bruxelles,20194883,1070,Apartment,APARTMENT,225000.0,2,78,,4,Good,0,1,0,,0,,0,0
Bruges,Heist-aan-Zee,51.33995669999999,3.230374,Flandre Occidentale,20261681,8301,Apartment,APARTMENT,225000.0,1,46,,2,Good,0,0,0,,0,,1,0
Marche-En-Famenne,Marche-en-Famenne,50.2277395,5.3442684,Luxembourg,20388945,6900,Apartment,APARTMENT,229000.0,3,129,,,Good,0,1,0,,0,,0,0
Ostende,MIDDELKERKE,51.1867917,2.8135437,Flandre Occidentale,20417558,8430,Apartment,APARTMENT,230000.0,2,70,,,To renovate,0,0,0,,0,,0,0
Bruxelles,Bruxelles,50.89167800000001,4.385364099999999,Bruxelles,20200041,1120,Apartment,APARTMENT,232000.0,1,75,,2,Good,0,0,0,,0,,0,0
Bruxelles,IXELLES,50.8186015,4.3838327,Bruxelles,20126554,1050,Apartment,APARTMENT,235000.0,1,68,,2,To be done up,0,0,0,,0,,0,0
Bruxelles,Bruxelles,50.8955194,4.3927605,Bruxelles,20268812,1120,Apartment,APARTMENT,235000.0,2,75,,2,Good,0,1,0,,1,4,0,0
Bruxelles,Forest,50.8095711,4.3243106,Bruxelles,20323607,1190,Apartment,APARTMENT,235000.0,2,85,,2,To renovate,0,1,0,,1,9,0,0
Bruxelles,Forest,50.8163291,4.3357117,Bruxelles,20302505,1190,Apartment,APARTMENT,235000.0,1,85,,2,To be done up,0,0,0,,1,4,0,0
Anvers,Antwerpen,51.2141379,4.3971003,Anvers,20385035,2000,Apartment,APARTMENT,235000.0,1,56,,1,Good,0,1,0,,0,,0,0
Anvers,HOBOKEN,51.1780792,4.371326199999999,Anvers,20387403,2660,Apartment,APARTMENT,235000.0,2,81,,2,As new,0,1,0,,1,6,0,0
Hal-Vilvorde,Wemmel,50.9001759,4.3206381,Brabant Flamand,20103286,1780,Apartment,APARTMENT,239000.0,2,75,,2,As new,0,1,0,,1,3,0,0
Hal-Vilvorde,Grimbergen,50.9250908,4.4123379,Brabant Flamand,20353844,1850,Apartment,APARTMENT,240000.0,2,85,,,Good,0,0,0,,1,5,0,0
Liège,LIÈGE,50.62389140000001,5.5647982,Liège,20234544,4000,Apartment,APARTMENT,245000.0,2,91,,3,Good,0,1,0,,0,,0,0
Charleroi,Pont-à-Celles,50.5258397,4.3459198,Hainaut,20342478,6230,Apartment,APARTMENT,246500.0,2,86,,4,Good,0,0,0,,1,8,0,0
Bruxelles,IXELLES,50.8185701,4.3838828,Bruxelles,20159523,1050,Apartment,APARTMENT,249000.0,1,60,,2,To be done up,0,0,0,,0,,0,0
Bruxelles,Ixelles,50.8347176,4.3620329,Bruxelles,20096444,1050,Apartment,APARTMENT,249000.0,1,50,,2,Good,0,0,0,,0,,0,0
Bruxelles,Bruxelles,50.89699359999999,4.3877229,Bruxelles,20322898,1120,Apartment,APARTMENT,249000.0,2,75,,3,To be done up,0,0,0,,1,6,0,0
Liège,Herstal,50.6782035,5.620934999999999,Liège,20119474,4040,Apartment,APARTMENT,249000.0,2,102,,,As new,0,1,0,,1,7,0,0
Anvers,Antwerpen,51.2304079,4.447803599999999,Anvers,20280461,2100,Apartment,APARTMENT,249900.0,3,75,,2,As new,0,1,0,,1,5,0,0
Liège,Liège,50.6365934,5.5779982,Liège,20253656,4020,Apartment,APARTMENT,250000.0,3,159,,2,Good,0,0,0,,0,,0,0
Ypres,Ieper,50.8529298,2.8958062,Flandre Occidentale,20355737,8900,Apartment,APARTMENT,250000.0,3,112,,,Good,0,0,0,,1,6,0,0
Liège,Warsage,50.7355654,5.7690339,Liège,20357462,4608,Apartment,APARTMENT,254000.0,2,89,,2,Good,0,0,0,,1,10,0,0
Bruxelles,Bruxelles,50.8928106,4.3878876,Bruxelles,20295841,1120,Apartment,APARTMENT,259000.0,2,88,,2,Good,0,0,0,,1,4,0,0
Waremme,Hannut,50.667579,5.0860093,Liège,20264070,4280,Apartment,APARTMENT,259000.0,3,100,,2,Good,0,1,0,,1,4,0,0
Arlon,ARLON,49.6715027,5.7887133,Luxembourg,20381359,6700,Apartment,APARTMENT,260000.0,2,85,,4,Good,0,1,0,,0,,0,0
Ostende,Gistel,51.1560733,2.9664893,Flandre Occidentale,20300680,8470,Apartment,APARTMENT,260000.0,3,131,,,As new,0,0,1,18,0,,0,0
Hal-Vilvorde,Grimbergen Strombeek-Bever,50.9093007,4.3552018,Brabant Flamand,20155560,1853,Apartment,APARTMENT,265000.0,3,95,,2,Good,0,1,0,,1,5,0,0
Ostende,Gistel,51.1562694,2.9683288,Flandre Occidentale,20353168,8470,Apartment,APARTMENT,265000.0,3,114,,,Just renovated,0,0,0,,0,,0,0
Bruxelles,Etterbeek,50.8275352,4.4027815,Bruxelles,20360828,1040,Apartment,APARTMENT,269000.0,2,89,,,Good,0,1,0,,0,,0,0
Bruxelles,Ganshoren,50.8729898,4.3025768,Bruxelles,20042812,1083,Apartment,APARTMENT,269000.0,2,90,,2,As new,0,1,0,,1,16,1,0
Arlon,ATHUS,49.55543309999999,5.8411446,Luxembourg,11425245,6791,Apartment,APARTMENT,270000.0,2,152,,,Just renovated,0,1,0,,0,,0,0
Furnes,Koksijde,51.1152825,2.6388554,Flandre Occidentale,20391371,8670,Apartment,APARTMENT,272500.0,2,76,,,Good,0,0,0,,0,,0,0
Bruxelles,Laken,50.8760428,4.3480605,Bruxelles,20259507,1020,Duplex,APARTMENT,279000.0,3,101,,,Good,0,1,0,,0,,0,0
Hal-Vilvorde,Halle,50.7257231,4.2394279,Brabant Flamand,20325530,1500,Ground_Floor,APARTMENT,285000.0,1,80,,,As new,0,0,1,28,1,10,0,0
Bruges,HEIST-AAN-ZEE,51.3408761,3.2387043,Flandre Occidentale,20085393,8301,Apartment,APARTMENT,285000.0,2,67,,,To restore,0,0,0,,0,,0,0
Bruxelles,Berchem-Sainte-Agathe,50.86429520000001,4.3066188,Bruxelles,11454710,1082,Apartment,APARTMENT,289000.0,2,81,,2,Good,0,1,0,,1,5,0,0
Bruges,Blankenberge,51.30765170000001,3.1219548,Flandre Occidentale,11100121,8370,Duplex,APARTMENT,289000.0,2,105,,,Good,0,0,0,,0,,0,0
Dixmude,Bovekerke,51.0540596,2.9640178,Flandre Occidentale,20306384,8680,Apartment,APARTMENT,289000.0,3,120,,,Just renovated,0,0,0,,1,4,0,0
Bruxelles,Schaarbeek,50.8609841,4.367913199999999,Bruxelles,20283041,1030,Apartment,APARTMENT,290000.0,2,86,,2,Good,0,1,0,,1,7,0,0
Anvers,Antwerpen,51.1738307,4.4039206,Anvers,20279490,2610,Apartment,APARTMENT,295000.0,2,93,,2,Good,0,1,0,,1,15,0,0
Liège,Tilff,50.5675012,5.5833924,Liège,20376720,4130,Apartment,APARTMENT,295000.0,2,103,,3,Good,0,1,0,,1,9,0,0
Tielt,Tielt (8700),50.9933558,3.3288892,Flandre Occidentale,7858699,8700,Apartment,APARTMENT,295000.0,2,80,,,Good,0,1,0,,0,,0,0
Bruxelles,Brussel,50.8561919,4.3522725,Bruxelles,20033708,1000,Apartment,APARTMENT,299000.0,2,86,,,As new,0,1,0,,0,,1,0
Bruxelles,Ixelles,50.821345,4.3611686,Bruxelles,20250297,1050,Apartment,APARTMENT,299000.0,1,69,,,Good,0,1,0,,1,6,0,0
Hal-Vilvorde,VILVOORDE,,,Brabant Flamand,20097800,1800,Ground_Floor,APARTMENT,299000.0,2,96,,2,Good,1,1,1,200,1,37,0,0
Anvers,Antwerpen,51.19102710000001,4.3941187,Anvers,20454718,2020,Apartment,APARTMENT,299000.0,2,85,,1,Good,0,1,0,,0,,0,0
Roulers,Roeselare,50.9344551,3.1211276,Flandre Occidentale,11381527,8800,Apartment,APARTMENT,299000.0,2,117,,,Good,0,1,0,,1,79,0,0
Roulers,Roeselare,50.9344551,3.1211276,Flandre Occidentale,20049723,8800,Apartment,APARTMENT,299000.0,2,129,,,Good,0,1,0,,1,32,0,0
Alost,Geraardsbergen,50.7743914,3.871169699999999,Flandre Orientale,20386608,9500,Ground_Floor,APARTMENT,299000.0,2,95,,2,As new,0,1,0,,0,,0,0
Ostende,Oostende,51.2290746,2.9093963,Flandre Occidentale,20416880,8400,Ground_Floor,APARTMENT,209000.0,1,63,,2,As new,0,1,1,70,1,30,1,0
Bruxelles,Laeken,50.8960523,4.3621595,Bruxelles,20469020,1020,Apartment,APARTMENT,170000.0,1,35,,2,Good,0,0,0,,0,,0,0
